name,price,image,store,category,style,affiliate_link
Modern Velvet Sofa,1299,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Wayfair,sofa,modern,https://www.wayfair.com/furniture/pdp/modern-velvet-sofa
Mid-Century Armchair,450,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=400,West Elm,chair,mid-century,https://www.westelm.com/products/mid-century-chair
Marble Coffee Table,599,https://images.unsplash.com/photo-1533090481720-856c6e3c1fdc?w=400,CB2,table,modern,https://www.cb2.com/marble-coffee-table
Boho Rattan Floor Lamp,189,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=400,Target,lamp,boho,https://www.target.com/p/rattan-lamp
Geometric Area Rug,299,https://images.unsplash.com/photo-1600166898405-da9535204843?w=400,Amazon,rug,modern,https://www.amazon.com/geometric-rug
Scandinavian Bookshelf,749,https://images.unsplash.com/photo-1594620302200-9a762244a156?w=400,IKEA,storage,scandi,https://www.ikea.com/bookshelf
Tufted Leather Sofa,1899,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?w=400,Article,sofa,modern,https://www.article.com/leather-sofa
Japandi Side Table,279,https://images.unsplash.com/photo-1499933374294-4584851497cc?w=400,West Elm,table,japandi,https://www.westelm.com/japandi-table
Bohemian Throw Pillows,89,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?w=400,Anthropologie,decor,boho,https://www.anthropologie.com/throw-pillows
Industrial Floor Lamp,329,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400,CB2,lamp,industrial,https://www.cb2.com/industrial-lamp
Walnut Dining Table,1450,https://images.unsplash.com/photo-1617806118233-18e1de247200?w=400,Article,table,mid-century,https://www.article.com/dining-table
Velvet Accent Chair,549,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400,Wayfair,chair,glam,https://www.wayfair.com/velvet-chair
Coastal Jute Rug,199,https://images.unsplash.com/photo-1600166898405-da9535204843?w=400,Target,rug,coastal,https://www.target.com/jute-rug
Minimalist Platform Bed,899,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=400,IKEA,bed,modern,https://www.ikea.com/platform-bed
Gold Pendant Light,275,https://images.unsplash.com/photo-1524484485831-a92ffc0de03f?w=400,West Elm,lamp,glam,https://www.westelm.com/pendant-light
